,Round Name,Panel,Rankings
0,Round 1,"Judah PurwantoⒸ , Cerys Walsh , Utkarsh Mishra","['3 Dieses Haus bereut schwul gegen Bez (CO)', '2 GUU B (CG)', '1 A-bimini bon-boulash ICE (OO)', '0 No Preference (OG)']"
1,Round 1,"Brynley HamerⒸ , Izzie Blackburn , Sharath Nambiar","[""3 Alfie and Murphy's first debate com (CG)"", '2 Oxford (OO)', '1 Terry Loves Debating and Yogurt (OG)', '0 UWODS We gave u ryan howson (CO)']"
2,Round 1,"Katherine HarrisⒸ , Andrew Longworth , Jarrod Grant ❄️","['3 in the darkest timeline we’ve both (OO)', '2 Why are dogs shit case generators? (OG)', '1 Get ready for hot debater summer (CO)', '0 Avem fainoșag (CG)']"
3,Round 1,"Adam MallisⒸ , Alex Lovell 🌸","['3 Cerys Walsh Votes Fine Gael (OO)', '2 UCL-Oxford ""Just win the top room"" (CO)', '1 I promise to be fresh v2 (CG)', '0 The French Connection (OG)']"
4,Round 1,"Julie NyergesⒸ , Priyanka Das , Tanae Rao","['3 GUU (AD)mission impossible (OG)', '2 Imperial who do we need to knife to (CO)', '1 We’re here to win debates and have (CG)', ""0 Nav's Bank Deficit is Scotland's op (OO)""]"
5,Round 1,"Georgia BentleyⒸ , Lucy McManus","['3 we did all lost (CO)', ""2 The elites don't want you to know t (OG)"", '1 Veto Players (OO)', ""0 we don't know why Albania is funny (CG)""]"
6,Round 2,"Yusuf SteelⒸ , Adam Mallis , Jarrod Grant ❄️","['3 Veto Players (CO)', '2 A-bimini bon-boulash ICE (OG)', '1 Avem fainoșag (OO)', '0 Terry Loves Debating and Yogurt (CG)']"
7,Round 2,"Brynley HamerⒸ , Aoife McGowan , Julie Nyerges","[""3 Alfie and Murphy's first debate com (CO)"", '2 GUU (AD)mission impossible (OO)', '1 Oxford (CG)', '0 in the darkest timeline we’ve both (OG)']"
8,Round 2,"Malcolm RiskⒸ , Lucy McManus , Sharath Nambiar","['3 we did all lost (OG)', '2 Dieses Haus bereut schwul gegen Bez (OO)', '1 Cerys Walsh Votes Fine Gael (CG)', ""0 The elites don't want you to know t (CO)""]"
9,Round 2,"Katherine HarrisⒸ , Beatrice Pretta , Utkarsh Mishra","['3 We’re here to win debates and have (CO)', '2 The French Connection (OO)', '1 I promise to be fresh v2 (OG)', '0 Get ready for hot debater summer (CG)']"
10,Round 2,"Judah PurwantoⒸ , Izzie Blackburn , Priyanka Das","['3 UCL-Oxford ""Just win the top room"" (OO)', '2 Why are dogs shit case generators? (CG)', '1 Imperial who do we need to knife to (OG)', '0 GUU B (CO)']"
11,Round 2,"Alex Lovell 🌸Ⓒ , Cerys Walsh , Tanae Rao","['3 UWODS We gave u ryan howson (OO)', ""2 Nav's Bank Deficit is Scotland's op (OG)"", ""1 we don't know why Albania is funny (CO)"", '0 No Preference (CG)']"
12,Round 3,"Alex Lovell 🌸Ⓒ , Beatrice Pretta , Julie Nyerges","['3 A-bimini bon-boulash ICE (CO)', '2 UWODS We gave u ryan howson (OG)', '1 in the darkest timeline we’ve both (CG)', '0 We’re here to win debates and have (OO)']"
13,Round 3,"Yusuf SteelⒸ , Cerys Walsh , Sharath Nambiar","['3 we did all lost (OO)', ""2 Alfie and Murphy's first debate com (OG)"", '1 GUU (AD)mission impossible (CO)', '0 Dieses Haus bereut schwul gegen Bez (CG)']"
14,Round 3,"Judah PurwantoⒸ , Jarrod Grant ❄️","['3 Avem fainoșag (OG)', '2 Get ready for hot debater summer (CG)', '1 Terry Loves Debating and Yogurt (OO)', '0 No Preference (CO)']"
15,Round 3,"Katherine HarrisⒸ , Aoife McGowan , Izzie Blackburn","['3 Cerys Walsh Votes Fine Gael (CO)', '2 UCL-Oxford ""Just win the top room"" (OG)', '1 Why are dogs shit case generators? (OO)', '0 Veto Players (CG)']"
16,Round 3,"Priyanka DasⒸ , Adam Mallis","[""3 we don't know why Albania is funny (OO)"", '2 GUU B (OG)', ""1 Nav's Bank Deficit is Scotland's op (CG)"", '0 The French Connection (CO)']"
17,Round 3,"Brynley HamerⒸ , Malcolm Risk","['3 Oxford (OG)', '2 I promise to be fresh v2 (CO)', '1 Imperial who do we need to knife to (OO)', ""0 The elites don't want you to know t (CG)""]"
18,Round 4,"Yusuf SteelⒸ , Julie Nyerges , Utkarsh Mishra","['3 Dieses Haus bereut schwul gegen Bez (OG)', '2 GUU (AD)mission impossible (OO)', '1 Oxford (CO)', '0 A-bimini bon-boulash ICE (CG)']"
19,Round 4,"Katherine HarrisⒸ , Sharath Nambiar","['3 we did all lost (CO)', ""2 Alfie and Murphy's first debate com (OO)"", '1 UCL-Oxford ""Just win the top room"" (CG)', '0 Cerys Walsh Votes Fine Gael (OG)']"
20,Round 4,"Judah PurwantoⒸ , Adam Mallis , Malcolm Risk","[""3 Nav's Bank Deficit is Scotland's op (CG)"", '2 Veto Players (OG)', '1 Get ready for hot debater summer (OO)', '0 Avem fainoșag (CO)']"
