,Round Name,Panel,Rankings
0,Round 1,"Neo Wei ShengⒸ , Caroline Doyle","[""3 Plz don't give us a 5th OG (CO)"", '2 I am the Messiah (OG)', '1 UCD L&H Oedipus & the Motherfuckers (OO)', '0 Aberdeen Always Look on the Bright (CG)']"
1,Round 1,"Lucy MurphyⒸ , Sharath Nambiar","['3 The Ministry of Truth (OO)', '2 E.T. (CO)', '1 Aberdeen Pixel Art (CG)', '0 Clarity? Never heard what this is. (OG)']"
2,Round 1,"KlaudiaⒸ , Ananya Venkatesan , Hazwan Zainal AbidinⓉ","['3 Apes Together Strong (CG)', '2 Electro Swing A (OO)', '1 EUDU Ritu and Ishani are Dumb <3 (OG)', '0 missing Russian tournaments to pra (CO)']"
3,Round 1,"Radko NedyalkovⒸ , Parth Pandya","['3 TCD Hist If you pronounce our names correct (CG)', '2 what does a watermelon taste like? (OG)', '1 Awesome Blossoms (CO)', '0 Unironically gives Libertarian ext (OO)']"
4,Round 1,"Nikola MichaylovⒸ , Brynley Hamer , Francisca BaptistaⓉ","['3 TCD Hist A Spectre is haunting Sco (OO)', '2 Swing 1 (CG)', ""1 BK's only speaking with his coach (OG)"", '0 Stirling Team Mainland (CO)']"
5,Round 1,"Suzanne ElliottⒸ , Petar Žnidar , Muhammad Ali A KhanⓉ","['3 Sorry babe no sex tonight, the tro (CO)', '2 Panda Possum Gang (CG)', '1 Rot the food? like rotisserie chic (OG)', '0 BDU X (OO)']"
6,Round 1,"Katie McLeanⒸ , Tejas Subramaniam","['3 TCD Hist Brain go brrrrrr (CO)', '2 better husband material than abhin (OG)', '1 Tactical Third (OO)', '0 I promise to be fresh v2 (CG)']"
7,Round 1,"Rok HafnerⒸ , Lauren Lilley","['3 Heroin extension did nothing wrong (CG)', '2 can the moon give me a forehead ki (OO)', '1 Epistemic Victory (OG)', '0 Zagreb (CO)']"
8,Round 1,"Lovro ŠpremⒸ , Alexander Thompson , Sameer Shaikh","[""3 Mark Ruffalo is God's gift to Amer (CG)"", '2 Swordmaki (OO)', '1 Certified Speaks, 2 days a week, b (OG)', ""0 Please don't come to Brazil (CO)""]"
9,Round 1,"Mati WójtowiczⒸ , Doireann O'Brien","['3 Sematic Friday Weekend Alliance (OO)', '2 crusing for a bruising, frowning f (CO)', '1 Oxford FS (OG)', '0 TCD Phil Caroline Doyle Stans (CG)']"
10,Round 1,"Enting LeeⒸ , Nayara Noor","['3 Subscribe to Technoblade (CO)', '2 Gay AND Chinese? Pick a struggle (CG)', '1 Pannenkoeken (OO)', '0 Dylan is the Pro in this Pro An (OG)']"
11,Round 1,"NJUGUNA MACHARIAⒸ , Matthew Fricker , Riva Bagully-HawleyⓉ","['3 Oxford BR (OO)', '2 Simping for Levi Ackerman 24 7 (CG)', '1 Terry Loves Total 2% (OG)', '0 TY (CO)']"
12,Round 2,"Radko NedyalkovⒸ , Brynley Hamer","['3 TCD Phil Caroline Doyle Stans (OG)', '2 Dylan is the Pro in this Pro An (CG)', '1 TY (OO)', '0 Aberdeen Always Look on the Bright (CO)']"
13,Round 2,"Doireann O'BrienⒸ , Riva Bagully-HawleyⓉ","['3 Epistemic Victory (OO)', '2 Certified Speaks, 2 days a week, b (CO)', '1 Aberdeen Pixel Art (OG)', '0 Awesome Blossoms (CG)']"
14,Round 2,"Sourodip PaulⒸ , Petar Žnidar","[""3 Plz don't give us a 5th OG (CG)"", '2 Apes Together Strong (CO)', '1 Oxford BR (OG)', '0 TCD Hist If you pronounce our names correct (OO)']"
15,Round 2,"Lucy MurphyⒸ , Matthew Fricker","[""3 BK's only speaking with his coach (CO)"", '2 Pannenkoeken (OG)', '1 Rot the food? like rotisserie chic (CG)', '0 Oxford FS (OO)']"
16,Round 2,"Parth PandyaⒸ , Alicja Filbier","['3 I promise to be fresh v2 (CO)', '2 BDU X (OG)', '1 Clarity? Never heard what this is. (CG)', '0 missing Russian tournaments to pra (OO)']"
17,Round 2,"Rok HafnerⒸ , Caroline Doyle","['3 better husband material than abhin (CG)', '2 Simping for Levi Ackerman 24 7 (OO)', '1 Swordmaki (OG)', '0 Panda Possum Gang (CO)']"
18,Round 2,"Suzanne ElliottⒸ , Sharath Nambiar","['3 can the moon give me a forehead ki (CO)', '2 crusing for a bruising, frowning f (OO)', '1 Swing 1 (OG)', '0 I am the Messiah (CG)']"
19,Round 2,"Katie McLeanⒸ , Nikola Michaylov , Muhammad Ali A KhanⓉ","['3 Gay AND Chinese? Pick a struggle (OG)', '2 what does a watermelon taste like? (OO)', '1 Electro Swing A (CO)', '0 E.T. (CG)']"
20,Round 2,"Mati WójtowiczⒸ , Sameer Shaikh","['3 Tactical Third (OG)', '2 EUDU Ritu and Ishani are Dumb <3 (CO)', '1 UCD L&H Oedipus & the Motherfuckers (CG)', '0 Terry Loves Total 2% (OO)']"
21,Round 2,"Neo Wei ShengⒸ , Lauren Lilley","['3 Heroin extension did nothing wrong (OG)', ""2 Mark Ruffalo is God's gift to Amer (CO)"", '1 TCD Hist Brain go brrrrrr (CG)', '0 Subscribe to Technoblade (OO)']"
22,Round 2,Tejas SubramaniamⒸ,"[""3 Please don't come to Brazil (OG)"", '2 Zagreb (CG)', '1 Stirling Team Mainland (OO)', '0 Unironically gives Libertarian ext (CO)']"
23,Round 2,"NJUGUNA MACHARIAⒸ , Ananya Venkatesan","['3 Sorry babe no sex tonight, the tro (OO)', '2 Sematic Friday Weekend Alliance (CO)', '1 TCD Hist A Spectre is haunting Sco (OG)', '0 The Ministry of Truth (CG)']"
24,Round 3,"Nayara NoorⒸ , Caroline Doyle","['3 Clarity? Never heard what this is. (CO)', '2 TY (CG)', '1 Aberdeen Always Look on the Bright (OO)', '0 missing Russian tournaments to pra (OG)']"
25,Round 3,"Sameer ShaikhⒸ , Katie McLean","['3 I am the Messiah (CO)', '2 Aberdeen Pixel Art (OO)', '1 E.T. (OG)', '0 Oxford FS (CG)']"
26,Round 3,NJUGUNA MACHARIAⒸ,"['3 TCD Hist A Spectre is haunting Sco (CO)', '2 can the moon give me a forehead ki (CG)', '1 Gay AND Chinese? Pick a struggle (OO)', '0 Apes Together Strong (OG)']"
27,Round 3,"Ananya VenkatesanⒸ , Brynley Hamer","['3 Awesome Blossoms (OO)', '2 Stirling Team Mainland (CG)', '1 Terry Loves Total 2% (CO)', '0 Unironically gives Libertarian ext (OG)']"
28,Round 3,"Suzanne ElliottⒸ , Muhammad Ali A KhanⓉ","[""3 BK's only speaking with his coach (CG)"", '2 TCD Hist Brain go brrrrrr (OG)', '1 what does a watermelon taste like? (CO)', '0 EUDU Ritu and Ishani are Dumb <3 (OO)']"
29,Round 3,Parth PandyaⒸ,"['3 Panda Possum Gang (OG)', '2 UCD L&H Oedipus & the Motherfuckers (CO)', '1 Dylan is the Pro in this Pro An (OO)', '0 BDU X (CG)']"
30,Round 3,"Lucy MurphyⒸ , Riva Bagully-HawleyⓉ","['3 Sorry babe no sex tonight, the tro (CG)', '2 Heroin extension did nothing wrong (OO)', '1 better husband material than abhin (CO)', ""0 Plz don't give us a 5th OG (OG)""]"
31,Round 3,"Petar ŽnidarⒸ , Klaudia","['3 Oxford BR (CG)', '2 Certified Speaks, 2 days a week, b (OO)', '1 crusing for a bruising, frowning f (OG)', '0 Simping for Levi Ackerman 24 7 (CO)']"
32,Round 3,Radko NedyalkovⒸ,"['3 TCD Phil Caroline Doyle Stans (CO)', '2 Electro Swing A (CG)', '1 Subscribe to Technoblade (OG)', ""0 Please don't come to Brazil (OO)""]"
33,Round 3,"Lovro ŠpremⒸ , Matthew Fricker","['3 Sematic Friday Weekend Alliance (OG)', ""2 Mark Ruffalo is God's gift to Amer (OO)"", '1 Epistemic Victory (CG)', '0 Tactical Third (CO)']"
34,Round 3,"Nikola MichaylovⒸ , Sharath Nambiar","['3 Swing 1 (CO)', '2 I promise to be fresh v2 (OO)', '1 Zagreb (OG)', '0 Pannenkoeken (CG)']"
35,Round 3,"Mati WójtowiczⒸ , Lauren Lilley","['3 The Ministry of Truth (CO)', '2 TCD Hist If you pronounce our names correct (OG)', '1 Swordmaki (CG)', '0 Rot the food? like rotisserie chic (OO)']"
36,Round 4,Sharath NambiarⒸ,"['3 Unironically gives Libertarian ext (OO)', '2 missing Russian tournaments to pra (CG)', '1 Oxford FS (CO)', '0 Aberdeen Always Look on the Bright (OG)']"
37,Round 4,"Nayara NoorⒸ , Lucy Murphy , Riva Bagully-Hawley","['3 Panda Possum Gang (OO)', '2 I promise to be fresh v2 (OG)', '1 Aberdeen Pixel Art (CO)', '0 Tactical Third (CG)']"
38,Round 4,"Parth PandyaⒸ , Lovro Šprem , Muhammad Ali A KhanⓉ","['3 crusing for a bruising, frowning f (CG)', '2 Apes Together Strong (OO)', '1 Awesome Blossoms (OG)', '0 TCD Hist If you pronounce our names correct (CO)']"
